"family","GO_accession","GO_name","GO_domain"
"ENSG00000274073","GO:0006915","apoptotic process","biological_process"
"ENSG00000274073","GO:0006281","DNA repair","biological_process"
"ENSG00000274073","GO:0006338","chromatin remodeling","biological_process"
"ENSG00000274073","GO:0043065","positive regulation of apoptotic process","biological_process"
"ENSG00000274073","GO:0045893","positive regulation of DNA-templated transcription","biological_process"
"ENSG00000274073","GO:0051726","regulation of cell cycle","biological_process"
"ENSG00000166908","GO:0006629","lipid metabolic process","biological_process"
"ENSG00000183837","GO:0043065","positive regulation of apoptotic process","biological_process"
"ENSG00000126549","GO:0042742","defense response to bacterium","biological_process"
"ENSG00000142528","GO:0006357","regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000142528","GO:0045944","positive regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000275837","GO:0007399","nervous system development","biological_process"
"ENSG00000275837","GO:0006325","chromatin organization","biological_process"
"ENSG00000275837","GO:0006357","regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000275837","GO:0045944","positive regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000165702","GO:0006325","chromatin organization","biological_process"
"ENSG00000165702","GO:0006357","regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000165702","GO:0045944","positive regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000165702","GO:0000122","negative regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000277909","GO:0051301","cell division","biological_process"
"ENSG00000108175","GO:0045944","positive regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000108175","GO:0006357","regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000108175","GO:0001701","in utero embryonic development","biological_process"
"ENSG00000283921","GO:0035195","miRNA-mediated post-transcriptional gene silencing","biological_process"
"ENSG00000170122","GO:0006355","regulation of DNA-templated transcription","biological_process"
"ENSG00000170122","GO:0006357","regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000170122","GO:0030154","cell differentiation","biological_process"
"ENSG00000277154","GO:0000398","mRNA splicing, via spliceosome","biological_process"
"ENSG00000277154","GO:0000244","spliceosomal tri-snRNP complex assembly","biological_process"
"ENSG00000277154","GO:0006397","mRNA processing","biological_process"
"ENSG00000277154","GO:0008380","RNA splicing","biological_process"
"ENSG00000169877","GO:0050821","protein stabilization","biological_process"
"ENSG00000070444","GO:0006357","regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000070444","GO:0000122","negative regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000070444","GO:0006366","transcription by RNA polymerase II","biological_process"
"ENSG00000070444","GO:0006355","regulation of DNA-templated transcription","biological_process"
"ENSG00000070444","GO:0051726","regulation of cell cycle","biological_process"
"ENSG00000138463","GO:0055085","transmembrane transport","biological_process"
"ENSG00000144339","GO:0030154","cell differentiation","biological_process"
"ENSG00000126550","GO:0042742","defense response to bacterium","biological_process"
"ENSG00000251192","GO:0006355","regulation of DNA-templated transcription","biological_process"
"ENSG00000251192","GO:0006357","regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000197746","GO:0006629","lipid metabolic process","biological_process"
"ENSG00000277564","GO:0007399","nervous system development","biological_process"
"ENSG00000277564","GO:0006397","mRNA processing","biological_process"
"ENSG00000277564","GO:0008380","RNA splicing","biological_process"
"ENSG00000277564","GO:0045892","negative regulation of DNA-templated transcription","biological_process"
"ENSG00000275730","GO:0007166","cell surface receptor signaling pathway","biological_process"
"ENSG00000178498","GO:0016567","protein ubiquitination","biological_process"
"ENSG00000175040","GO:0006954","inflammatory response","biological_process"
"ENSG00000247746","GO:0006508","proteolysis","biological_process"
"ENSG00000247746","GO:0006281","DNA repair","biological_process"
"ENSG00000247746","GO:0006974","DNA damage response","biological_process"
"ENSG00000150779","GO:0015031","protein transport","biological_process"
"ENSG00000204642","GO:0006955","immune response","biological_process"
"ENSG00000277114","GO:0006355","regulation of DNA-templated transcription","biological_process"
"ENSG00000127804","GO:0006397","mRNA processing","biological_process"
"ENSG00000127804","GO:0032259","methylation","biological_process"
"ENSG00000269502","GO:0006355","regulation of DNA-templated transcription","biological_process"
"ENSG00000198815","GO:0006355","regulation of DNA-templated transcription","biological_process"
"ENSG00000198815","GO:0030154","cell differentiation","biological_process"
"ENSG00000198815","GO:0007283","spermatogenesis","biological_process"
"ENSG00000198815","GO:0006357","regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000198815","GO:0045944","positive regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000205649","GO:0042742","defense response to bacterium","biological_process"
"ENSG00000205649","GO:0045087","innate immune response","biological_process"
"ENSG00000221200","GO:0035195","miRNA-mediated post-transcriptional gene silencing","biological_process"
"ENSG00000272920","GO:0035195","miRNA-mediated post-transcriptional gene silencing","biological_process"
"ENSG00000212469","GO:0000244","spliceosomal tri-snRNP complex assembly","biological_process"
"ENSG00000212469","GO:0000353","formation of quadruple SL/U4/U5/U6 snRNP","biological_process"
"ENSG00000277808","GO:0008150","biological_process","biological_process"
"ENSG00000100065","GO:0042981","regulation of apoptotic process","biological_process"
"ENSG00000275730","GO:0002250","adaptive immune response","biological_process"
"ENSG00000275730","GO:0002764","immune response-regulating signaling pathway","biological_process"
"ENSG00000111845","GO:0008283","cell population proliferation","biological_process"
"ENSG00000275326","GO:0007165","signal transduction","biological_process"
"ENSG00000132465","GO:0045087","innate immune response","biological_process"
"ENSG00000132465","GO:0002250","adaptive immune response","biological_process"
"ENSG00000132465","GO:0006955","immune response","biological_process"
"ENSG00000101076","GO:0006355","regulation of DNA-templated transcription","biological_process"
"ENSG00000101076","GO:0030154","cell differentiation","biological_process"
"ENSG00000101076","GO:0045944","positive regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000101076","GO:0045892","negative regulation of DNA-templated transcription","biological_process"
"ENSG00000101076","GO:0006357","regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000101076","GO:0006366","transcription by RNA polymerase II","biological_process"
"ENSG00000101076","GO:0006629","lipid metabolic process","biological_process"
"ENSG00000101076","GO:0045893","positive regulation of DNA-templated transcription","biological_process"
"ENSG00000101076","GO:0008285","negative regulation of cell population proliferation","biological_process"
"ENSG00000213023","GO:0030154","cell differentiation","biological_process"
"ENSG00000128283","GO:0098609","cell-cell adhesion","biological_process"
"ENSG00000101981","GO:0006508","proteolysis","biological_process"
"ENSG00000201641","GO:0000244","spliceosomal tri-snRNP complex assembly","biological_process"
"ENSG00000201641","GO:0000353","formation of quadruple SL/U4/U5/U6 snRNP","biological_process"
"ENSG00000121064","GO:0006508","proteolysis","biological_process"
"ENSG00000238485","GO:0006396","RNA processing","biological_process"
"ENSG00000221375","GO:0000244","spliceosomal tri-snRNP complex assembly","biological_process"
"ENSG00000221375","GO:0000395","mRNA 5'-splice site recognition","biological_process"
"ENSG00000100079","GO:0043065","positive regulation of apoptotic process","biological_process"
"ENSG00000100079","GO:0098609","cell-cell adhesion","biological_process"
"ENSG00000134962","GO:0008284","positive regulation of cell population proliferation","biological_process"
"ENSG00000147378","GO:0042981","regulation of apoptotic process","biological_process"
"ENSG00000147378","GO:0043066","negative regulation of apoptotic process","biological_process"
"ENSG00000147378","GO:0006915","apoptotic process","biological_process"
"ENSG00000142511","GO:0007186","G protein-coupled receptor signaling pathway","biological_process"
"ENSG00000142511","GO:0006954","inflammatory response","biological_process"
"ENSG00000276196","GO:0002764","immune response-regulating signaling pathway","biological_process"
"ENSG00000138892","GO:0060271","cilium assembly","biological_process"
"ENSG00000197102","GO:0051301","cell division","biological_process"
"ENSG00000221381","GO:0006396","RNA processing","biological_process"
"ENSG00000221241","GO:0006396","RNA processing","biological_process"
"ENSG00000220988","GO:0006396","RNA processing","biological_process"
"ENSG00000274410","GO:0002764","immune response-regulating signaling pathway","biological_process"
"ENSG00000274410","GO:0006955","immune response","biological_process"
"ENSG00000196652","GO:0006355","regulation of DNA-templated transcription","biological_process"
"ENSG00000196652","GO:0006357","regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000082684","GO:0007399","nervous system development","biological_process"
"ENSG00000082684","GO:0030154","cell differentiation","biological_process"
"ENSG00000277789","GO:0034220","monoatomic ion transmembrane transport","biological_process"
"ENSG00000278503","GO:0002764","immune response-regulating signaling pathway","biological_process"
"ENSG00000278503","GO:0006955","immune response","biological_process"
"ENSG00000167748","GO:0006508","proteolysis","biological_process"
"ENSG00000273782","GO:0010468","regulation of gene expression","biological_process"
"ENSG00000147381","GO:0043066","negative regulation of apoptotic process","biological_process"
"ENSG00000147381","GO:0000122","negative regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000082684","GO:0030335","positive regulation of cell migration","biological_process"
"ENSG00000142065","GO:0006355","regulation of DNA-templated transcription","biological_process"
"ENSG00000142065","GO:0006357","regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000135454","GO:0007283","spermatogenesis","biological_process"
"ENSG00000197580","GO:0006629","lipid metabolic process","biological_process"
"ENSG00000274232","GO:0002764","immune response-regulating signaling pathway","biological_process"
"ENSG00000274232","GO:0007165","signal transduction","biological_process"
"ENSG00000292149","GO:0016055","Wnt signaling pathway","biological_process"
"ENSG00000292149","GO:0006355","regulation of DNA-templated transcription","biological_process"
"ENSG00000292149","GO:0006325","chromatin organization","biological_process"
"ENSG00000292149","GO:0006357","regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000172661","GO:0015031","protein transport","biological_process"
"ENSG00000292151","GO:0000244","spliceosomal tri-snRNP complex assembly","biological_process"
"ENSG00000292151","GO:0000353","formation of quadruple SL/U4/U5/U6 snRNP","biological_process"
"ENSG00000181007","GO:0006355","regulation of DNA-templated transcription","biological_process"
"ENSG00000181007","GO:0006357","regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000221705","GO:0006396","RNA processing","biological_process"
"ENSG00000154545","GO:0000122","negative regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000154545","GO:0008150","biological_process","biological_process"
"ENSG00000292155","GO:0006629","lipid metabolic process","biological_process"
"ENSG00000254004","GO:0006357","regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000128340","GO:0007165","signal transduction","biological_process"
"ENSG00000128340","GO:0007186","G protein-coupled receptor signaling pathway","biological_process"
"ENSG00000128340","GO:0008283","cell population proliferation","biological_process"
"ENSG00000128340","GO:0030036","actin cytoskeleton organization","biological_process"
"ENSG00000112855","GO:0006412","translation","biological_process"
"ENSG00000285434","GO:0007601","visual perception","biological_process"
"ENSG00000144452","GO:0055085","transmembrane transport","biological_process"
"ENSG00000144452","GO:0006869","lipid transport","biological_process"
"ENSG00000144452","GO:0006886","intracellular protein transport","biological_process"
"ENSG00000221475","GO:0006396","RNA processing","biological_process"
"ENSG00000285011","GO:0007601","visual perception","biological_process"
"ENSG00000186020","GO:0006355","regulation of DNA-templated transcription","biological_process"
"ENSG00000186020","GO:0006357","regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000135452","GO:0008284","positive regulation of cell population proliferation","biological_process"
"ENSG00000146007","GO:0000398","mRNA splicing, via spliceosome","biological_process"
"ENSG00000183049","GO:0006468","protein phosphorylation","biological_process"
"ENSG00000183049","GO:0007399","nervous system development","biological_process"
"ENSG00000183049","GO:0006954","inflammatory response","biological_process"
"ENSG00000183049","GO:0043065","positive regulation of apoptotic process","biological_process"
"ENSG00000183049","GO:0043066","negative regulation of apoptotic process","biological_process"
"ENSG00000076716","GO:0016055","Wnt signaling pathway","biological_process"
"ENSG00000076716","GO:0016477","cell migration","biological_process"
"ENSG00000146007","GO:0006397","mRNA processing","biological_process"
"ENSG00000146007","GO:0008380","RNA splicing","biological_process"
"ENSG00000206765","GO:0000244","spliceosomal tri-snRNP complex assembly","biological_process"
"ENSG00000206765","GO:0000353","formation of quadruple SL/U4/U5/U6 snRNP","biological_process"
"ENSG00000160396","GO:0006468","protein phosphorylation","biological_process"
"ENSG00000160396","GO:0006338","chromatin remodeling","biological_process"
"ENSG00000197019","GO:0008284","positive regulation of cell population proliferation","biological_process"
"ENSG00000197019","GO:0045893","positive regulation of DNA-templated transcription","biological_process"
"ENSG00000197019","GO:0045944","positive regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000204970","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","biological_process"
"ENSG00000204970","GO:0007155","cell adhesion","biological_process"
"ENSG00000204970","GO:0007399","nervous system development","biological_process"
"ENSG00000137210","GO:0007399","nervous system development","biological_process"
"ENSG00000167565","GO:0006355","regulation of DNA-templated transcription","biological_process"
"ENSG00000167565","GO:0045893","positive regulation of DNA-templated transcription","biological_process"
"ENSG00000134744","GO:0010629","negative regulation of gene expression","biological_process"
"ENSG00000184194","GO:0007186","G protein-coupled receptor signaling pathway","biological_process"
"ENSG00000184194","GO:0007165","signal transduction","biological_process"
"ENSG00000121057","GO:0006915","apoptotic process","biological_process"
"ENSG00000277365","GO:1902600","proton transmembrane transport","biological_process"
"ENSG00000134744","GO:0006396","RNA processing","biological_process"
"ENSG00000188771","GO:0030154","cell differentiation","biological_process"
"ENSG00000188771","GO:0030335","positive regulation of cell migration","biological_process"
"ENSG00000118246","GO:0006915","apoptotic process","biological_process"
"ENSG00000118246","GO:0006396","RNA processing","biological_process"
"ENSG00000100342","GO:0006869","lipid transport","biological_process"
"ENSG00000100342","GO:0045087","innate immune response","biological_process"
"ENSG00000170848","GO:0007165","signal transduction","biological_process"
"ENSG00000274036","GO:0006955","immune response","biological_process"
"ENSG00000274036","GO:0002764","immune response-regulating signaling pathway","biological_process"
"ENSG00000283039","GO:0006357","regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000011275","GO:0016567","protein ubiquitination","biological_process"
"ENSG00000011275","GO:0006915","apoptotic process","biological_process"
"ENSG00000011275","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","biological_process"
"ENSG00000184205","GO:0006325","chromatin organization","biological_process"
"ENSG00000135446","GO:0006468","protein phosphorylation","biological_process"
"ENSG00000135446","GO:0051301","cell division","biological_process"
"ENSG00000135446","GO:0051726","regulation of cell cycle","biological_process"
"ENSG00000135446","GO:0010468","regulation of gene expression","biological_process"
"ENSG00000135446","GO:0008284","positive regulation of cell population proliferation","biological_process"
"ENSG00000135446","GO:0007165","signal transduction","biological_process"
"ENSG00000135446","GO:0009410","response to xenobiotic stimulus","biological_process"
"ENSG00000135446","GO:0071222","cellular response to lipopolysaccharide","biological_process"
"ENSG00000204969","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","biological_process"
"ENSG00000204969","GO:0007155","cell adhesion","biological_process"
"ENSG00000204969","GO:0007399","nervous system development","biological_process"
"ENSG00000255408","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","biological_process"
"ENSG00000255408","GO:0007155","cell adhesion","biological_process"
"ENSG00000255408","GO:0007399","nervous system development","biological_process"
"ENSG00000278622","GO:0006397","mRNA processing","biological_process"
"ENSG00000162385","GO:0008380","RNA splicing","biological_process"
"ENSG00000162385","GO:0006397","mRNA processing","biological_process"
"ENSG00000162385","GO:0000398","mRNA splicing, via spliceosome","biological_process"
"ENSG00000204965","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","biological_process"
"ENSG00000204965","GO:0007155","cell adhesion","biological_process"
"ENSG00000204965","GO:0007399","nervous system development","biological_process"
"ENSG00000274086","GO:0043066","negative regulation of apoptotic process","biological_process"
"ENSG00000081842","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","biological_process"
"ENSG00000081842","GO:0007155","cell adhesion","biological_process"
"ENSG00000081842","GO:0007399","nervous system development","biological_process"
"ENSG00000123080","GO:0008285","negative regulation of cell population proliferation","biological_process"
"ENSG00000064601","GO:0006508","proteolysis","biological_process"
"ENSG00000139266","GO:0016567","protein ubiquitination","biological_process"
"ENSG00000123080","GO:0008283","cell population proliferation","biological_process"
"ENSG00000121897","GO:0006954","inflammatory response","biological_process"
"ENSG00000037897","GO:0032259","methylation","biological_process"
"ENSG00000277181","GO:0002764","immune response-regulating signaling pathway","biological_process"
"ENSG00000274646","GO:0006412","translation","biological_process"
"ENSG00000157625","GO:0042742","defense response to bacterium","biological_process"
"ENSG00000157625","GO:0043123","positive regulation of canonical NF-kappaB signal transduction","biological_process"
"ENSG00000274646","GO:0008284","positive regulation of cell population proliferation","biological_process"
"ENSG00000204963","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","biological_process"
"ENSG00000204963","GO:0007155","cell adhesion","biological_process"
"ENSG00000204963","GO:0007399","nervous system development","biological_process"
"ENSG00000273938","GO:0000244","spliceosomal tri-snRNP complex assembly","biological_process"
"ENSG00000273938","GO:0000353","formation of quadruple SL/U4/U5/U6 snRNP","biological_process"
"ENSG00000123427","GO:0032259","methylation","biological_process"
"ENSG00000123427","GO:0006338","chromatin remodeling","biological_process"
"ENSG00000138207","GO:0007601","visual perception","biological_process"
"ENSG00000138207","GO:0007507","heart development","biological_process"
"ENSG00000204962","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","biological_process"
"ENSG00000204962","GO:0007155","cell adhesion","biological_process"
"ENSG00000204962","GO:0007399","nervous system development","biological_process"
"ENSG00000204961","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","biological_process"
"ENSG00000204961","GO:0007155","cell adhesion","biological_process"
"ENSG00000204961","GO:0007399","nervous system development","biological_process"
"ENSG00000276461","GO:0006357","regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000276461","GO:0045944","positive regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000276977","GO:0006915","apoptotic process","biological_process"
"ENSG00000276977","GO:0002250","adaptive immune response","biological_process"
"ENSG00000111837","GO:0006468","protein phosphorylation","biological_process"
"ENSG00000111837","GO:0045893","positive regulation of DNA-templated transcription","biological_process"
"ENSG00000111837","GO:0030154","cell differentiation","biological_process"
"ENSG00000111837","GO:0007283","spermatogenesis","biological_process"
"ENSG00000111837","GO:0035556","intracellular signal transduction","biological_process"
"ENSG00000111837","GO:0060271","cilium assembly","biological_process"
"ENSG00000250120","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","biological_process"
"ENSG00000250120","GO:0007155","cell adhesion","biological_process"
"ENSG00000250120","GO:0007399","nervous system development","biological_process"
"ENSG00000175054","GO:0006281","DNA repair","biological_process"
"ENSG00000124260","GO:0000122","negative regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000106443","GO:0006357","regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000106443","GO:0000122","negative regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000106443","GO:0008285","negative regulation of cell population proliferation","biological_process"
"ENSG00000106443","GO:0006325","chromatin organization","biological_process"
"ENSG00000214026","GO:0006412","translation","biological_process"
"ENSG00000124827","GO:0006355","regulation of DNA-templated transcription","biological_process"
"ENSG00000124827","GO:0006357","regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000124827","GO:0045944","positive regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000124827","GO:0006366","transcription by RNA polymerase II","biological_process"
"ENSG00000274600","GO:0030154","cell differentiation","biological_process"
"ENSG00000274600","GO:0007283","spermatogenesis","biological_process"
"ENSG00000136560","GO:0006974","DNA damage response","biological_process"
"ENSG00000136560","GO:0051607","defense response to virus","biological_process"
"ENSG00000136560","GO:0007165","signal transduction","biological_process"
"ENSG00000204644","GO:0006355","regulation of DNA-templated transcription","biological_process"
"ENSG00000204644","GO:0006357","regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000251988","GO:0000244","spliceosomal tri-snRNP complex assembly","biological_process"
"ENSG00000251988","GO:0000395","mRNA 5'-splice site recognition","biological_process"
"ENSG00000284010","GO:0035195","miRNA-mediated post-transcriptional gene silencing","biological_process"
"ENSG00000185926","GO:0007186","G protein-coupled receptor signaling pathway","biological_process"
"ENSG00000185926","GO:0007608","sensory perception of smell","biological_process"
"ENSG00000185926","GO:0050911","detection of chemical stimulus involved in sensory perception of smell","biological_process"
"ENSG00000123297","GO:0006412","translation","biological_process"
"ENSG00000175054","GO:0006338","chromatin remodeling","biological_process"
"ENSG00000175054","GO:0006974","DNA damage response","biological_process"
"ENSG00000175054","GO:0009410","response to xenobiotic stimulus","biological_process"
"ENSG00000274580","GO:0002764","immune response-regulating signaling pathway","biological_process"
"ENSG00000274580","GO:0006955","immune response","biological_process"
"ENSG00000183313","GO:0007186","G protein-coupled receptor signaling pathway","biological_process"
"ENSG00000183313","GO:0007608","sensory perception of smell","biological_process"
"ENSG00000183313","GO:0050911","detection of chemical stimulus involved in sensory perception of smell","biological_process"
"ENSG00000249158","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","biological_process"
"ENSG00000249158","GO:0007155","cell adhesion","biological_process"
"ENSG00000249158","GO:0007399","nervous system development","biological_process"
"ENSG00000184634","GO:0006357","regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000180919","GO:0007186","G protein-coupled receptor signaling pathway","biological_process"
"ENSG00000180919","GO:0007608","sensory perception of smell","biological_process"
"ENSG00000180919","GO:0050911","detection of chemical stimulus involved in sensory perception of smell","biological_process"
"ENSG00000162600","GO:0006508","proteolysis","biological_process"
"ENSG00000184634","GO:0045893","positive regulation of DNA-templated transcription","biological_process"
"ENSG00000184634","GO:0045944","positive regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000252351","GO:0000244","spliceosomal tri-snRNP complex assembly","biological_process"
"ENSG00000252351","GO:0000395","mRNA 5'-splice site recognition","biological_process"
"ENSG00000162600","GO:0006629","lipid metabolic process","biological_process"
"ENSG00000162600","GO:0043065","positive regulation of apoptotic process","biological_process"
"ENSG00000184634","GO:0007507","heart development","biological_process"
"ENSG00000184634","GO:0016567","protein ubiquitination","biological_process"
"ENSG00000196119","GO:0007186","G protein-coupled receptor signaling pathway","biological_process"
"ENSG00000196119","GO:0007608","sensory perception of smell","biological_process"
"ENSG00000196119","GO:0050911","detection of chemical stimulus involved in sensory perception of smell","biological_process"
"ENSG00000206749","GO:0000244","spliceosomal tri-snRNP complex assembly","biological_process"
"ENSG00000206749","GO:0000353","formation of quadruple SL/U4/U5/U6 snRNP","biological_process"
"ENSG00000100813","GO:0006397","mRNA processing","biological_process"
"ENSG00000100813","GO:0008380","RNA splicing","biological_process"
"ENSG00000100813","GO:0006915","apoptotic process","biological_process"
"ENSG00000207492","GO:0000244","spliceosomal tri-snRNP complex assembly","biological_process"
"ENSG00000207492","GO:0000353","formation of quadruple SL/U4/U5/U6 snRNP","biological_process"
"ENSG00000251664","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","biological_process"
"ENSG00000251664","GO:0007155","cell adhesion","biological_process"
"ENSG00000251664","GO:0007399","nervous system development","biological_process"
"ENSG00000100813","GO:0043065","positive regulation of apoptotic process","biological_process"
"ENSG00000274580","GO:0071222","cellular response to lipopolysaccharide","biological_process"
"ENSG00000146457","GO:0006397","mRNA processing","biological_process"
"ENSG00000146457","GO:0008380","RNA splicing","biological_process"
"ENSG00000064601","GO:0006886","intracellular protein transport","biological_process"
"ENSG00000169359","GO:0055085","transmembrane transport","biological_process"
"ENSG00000136451","GO:0006357","regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000136451","GO:0045944","positive regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000136451","GO:0001525","angiogenesis","biological_process"
"ENSG00000120437","GO:0006629","lipid metabolic process","biological_process"
"ENSG00000064989","GO:0007186","G protein-coupled receptor signaling pathway","biological_process"
"ENSG00000064989","GO:0007166","cell surface receptor signaling pathway","biological_process"
"ENSG00000064989","GO:0015031","protein transport","biological_process"
"ENSG00000064989","GO:0001525","angiogenesis","biological_process"
"ENSG00000064989","GO:0007507","heart development","biological_process"
"ENSG00000064989","GO:0008283","cell population proliferation","biological_process"
"ENSG00000064989","GO:0008284","positive regulation of cell population proliferation","biological_process"
"ENSG00000125954","GO:0045893","positive regulation of DNA-templated transcription","biological_process"
"ENSG00000152402","GO:0035556","intracellular signal transduction","biological_process"
"ENSG00000152402","GO:0007165","signal transduction","biological_process"
"ENSG00000136450","GO:0006397","mRNA processing","biological_process"
"ENSG00000136450","GO:0008380","RNA splicing","biological_process"
"ENSG00000136450","GO:0000398","mRNA splicing, via spliceosome","biological_process"
"ENSG00000136450","GO:0000395","mRNA 5'-splice site recognition","biological_process"
"ENSG00000107863","GO:0007165","signal transduction","biological_process"
"ENSG00000074219","GO:0006355","regulation of DNA-templated transcription","biological_process"
"ENSG00000074219","GO:0006357","regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000074219","GO:0045893","positive regulation of DNA-templated transcription","biological_process"
"ENSG00000163682","GO:0006412","translation","biological_process"
"ENSG00000074219","GO:0006366","transcription by RNA polymerase II","biological_process"
"ENSG00000074219","GO:0007399","nervous system development","biological_process"
"ENSG00000074219","GO:0045944","positive regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000239389","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","biological_process"
"ENSG00000239389","GO:0007155","cell adhesion","biological_process"
"ENSG00000239389","GO:0007399","nervous system development","biological_process"
"ENSG00000243232","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","biological_process"
"ENSG00000243232","GO:0007155","cell adhesion","biological_process"
"ENSG00000243232","GO:0007399","nervous system development","biological_process"
"ENSG00000275156","GO:0002764","immune response-regulating signaling pathway","biological_process"
"ENSG00000275156","GO:0007165","signal transduction","biological_process"
"ENSG00000292076","GO:0010468","regulation of gene expression","biological_process"
"ENSG00000292076","GO:0016567","protein ubiquitination","biological_process"
"ENSG00000292076","GO:0045087","innate immune response","biological_process"
"ENSG00000121853","GO:0007186","G protein-coupled receptor signaling pathway","biological_process"
"ENSG00000121853","GO:0007283","spermatogenesis","biological_process"
"ENSG00000121853","GO:0071222","cellular response to lipopolysaccharide","biological_process"
"ENSG00000121053","GO:0042742","defense response to bacterium","biological_process"
"ENSG00000101210","GO:0006412","translation","biological_process"
"ENSG00000101210","GO:0043065","positive regulation of apoptotic process","biological_process"
"ENSG00000148356","GO:0016567","protein ubiquitination","biological_process"
"ENSG00000148356","GO:0006914","autophagy","biological_process"
"ENSG00000148356","GO:0015031","protein transport","biological_process"
"ENSG00000277816","GO:0007166","cell surface receptor signaling pathway","biological_process"
"ENSG00000174948","GO:0007186","G protein-coupled receptor signaling pathway","biological_process"
"ENSG00000139998","GO:0015031","protein transport","biological_process"
"ENSG00000166619","GO:0006915","apoptotic process","biological_process"
"ENSG00000171815","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","biological_process"
"ENSG00000171815","GO:0007155","cell adhesion","biological_process"
"ENSG00000171815","GO:0007399","nervous system development","biological_process"
"ENSG00000134955","GO:0055085","transmembrane transport","biological_process"
"ENSG00000164438","GO:0006355","regulation of DNA-templated transcription","biological_process"
"ENSG00000164438","GO:0006357","regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000164438","GO:0030182","neuron differentiation","biological_process"
"ENSG00000053438","GO:0007420","brain development","biological_process"
"ENSG00000204671","GO:0007165","signal transduction","biological_process"
"ENSG00000206909","GO:0006396","RNA processing","biological_process"
"ENSG00000106477","GO:0015031","protein transport","biological_process"
"ENSG00000106477","GO:0030030","cell projection organization","biological_process"
"ENSG00000106477","GO:0060271","cilium assembly","biological_process"
"ENSG00000161677","GO:0006508","proteolysis","biological_process"
"ENSG00000279643","GO:0006629","lipid metabolic process","biological_process"
"ENSG00000256861","GO:0015031","protein transport","biological_process"
"ENSG00000256861","GO:0016192","vesicle-mediated transport","biological_process"
"ENSG00000158258","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","biological_process"
"ENSG00000158258","GO:0007155","cell adhesion","biological_process"
"ENSG00000196588","GO:0045944","positive regulation of transcription by RNA polymerase II","biological_process"
"ENSG00000145331","GO:0032259","methylation","biological_process"
"ENSG00000156427","GO:0030154","cell differentiation","biological_process"
